(257502) PROCEDURE_TASK; INFO: Procedure task started
(257575) GPIO_WRAPPER; WARN: GPIO wrapper already initialized
(257575) SENSOR_CONTROLLER; WARN: Failed to initialize GPIO wrapper, probably already initialized
(257675) SENSOR_CONTROLLER; INFO: Sensor controller initialized
(258440) CLI; ERROR: Terminal doesn't support escape sequences
(258580) SENSOR_CONTROLLER; ERROR: No MACUS data available
(261814) SENSOR_CONTROLLER; ERROR: No MACUS data available
(263830) SENSOR_CONTROLLER; ERROR: No MACUS data available
(266064) SENSOR_CONTROLLER; ERROR: No MACUS data available
(268097) SENSOR_CONTROLLER; ERROR: No MACUS data available
(271386) SENSOR_CONTROLLER; ERROR: No MACUS data available
(273410) SENSOR_CONTROLLER; ERROR: No MACUS data available
(275420) SENSOR_CONTROLLER; ERROR: No MACUS data available
(277430) SENSOR_CONTROLLER; ERROR: No MACUS data available
(279440) SENSOR_CONTROLLER; ERROR: No MACUS data available
(281450) SENSOR_CONTROLLER; ERROR: No MACUS data available
(282576) PROCEDURE_TASK; INFO: Procedure task received notification
(282576) PROCEDURE_TASK; INFO: Procedure loaded successfully
(282576) PROCEDURE_TASK; INFO: Setting motors in starting point before starting procedure
(283490) SENSOR_CONTROLLER; ERROR: No MACUS data available
(284570) PROCEDURE_TASK; INFO: Motors set in starting point, starting procedure
(284801) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 0
(285451) PROCEDURE_EXEC_HELPER; INFO: Opening valve
(285500) SENSOR_CONTROLLER; ERROR: No MACUS data available
(288450) PROCEDURE_EXEC_HELPER; INFO: Closing valve
(288540) SENSOR_CONTROLLER; ERROR: No MACUS data available
(288950) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 0
(288950) PROCEDURE_EXEC_HELPER; INFO: Procedure finished, setting motors in starting point
(290560) SENSOR_CONTROLLER; ERROR: No MACUS data available
(291090) PROCEDURE_EXEC_HELPER; INFO: Motors set in starting point
(291090) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 0
(291590) PROCEDURE_EXEC_HELPER; INFO: Opening valve
(292600) SENSOR_CONTROLLER; ERROR: No MACUS data available
(294637) SENSOR_CONTROLLER; ERROR: No MACUS data available
(294637) PROCEDURE_EXEC_HELPER; INFO: Closing valve
(295285) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 0
(295286) PROCEDURE_EXEC_HELPER; INFO: Procedure finished, setting motors in starting point
(296173) CMD_PROCEDURE; INFO: Sending stop notification to procedure task
(296650) SENSOR_CONTROLLER; ERROR: No MACUS data available
(297380) PROCEDURE_EXEC_HELPER; INFO: Motors set in starting point
(297380) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 0
(297880) PROCEDURE_TASK; INFO: Stop notification received, stopping procedure
(298670) SENSOR_CONTROLLER; ERROR: No MACUS data available
(300786) SENSOR_CONTROLLER; ERROR: No MACUS data available
(302800) SENSOR_CONTROLLER; ERROR: No MACUS data available
