(1500) PROCEDURE_TASK; INFO: Procedure task started
(1573) GPIO_WRAPPER; WARN: GPIO wrapper already initialized
(1574) SENSOR_CONTROLLER; WARN: Failed to initialize GPIO wrapper, probably already initialized
(1674) SENSOR_CONTROLLER; INFO: Sensor controller initialized
(2359) CLI; ERROR: Terminal doesn't support escape sequences
(16827) PROCEDURE_TASK; INFO: Procedure task received notification
(16827) PROCEDURE_TASK; INFO: Procedure loaded successfully
(16827) PROCEDURE_TASK; INFO: Setting motors in starting point before starting procedure
(18819) PROCEDURE_TASK; INFO: Motors set in starting point, starting procedure
(18819) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 60000
(20319) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 60000
(20479) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 39999
(20639) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 20000
(20799) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 0
(20959) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -19999
(21225) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -39999
(21389) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -60000
(22389) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 0
(22389) PROCEDURE_EXEC_HELPER; INFO: Procedure finished, setting motors in starting point
(23130) CMD_PROCEDURE; INFO: Sending stop notification to procedure task
(24389) PROCEDURE_EXEC_HELPER; INFO: Motors set in starting point
(24389) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 60000
(24392) MECHANICAL_CONTROLLER; ERROR: Motor 0 is in overheat shutdown state
(24396) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(24396) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(25889) PROCEDURE_TASK; INFO: Stop notification received, stopping procedure
(33847) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(33847) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(33908) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(33908) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(33968) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
