(12631) PROCEDURE_TASK; INFO: Procedure task started
(12704) GPIO_WRAPPER; WARN: GPIO wrapper already initialized
(12704) SENSOR_CONTROLLER; WARN: Failed to initialize GPIO wrapper, probably already initialized
(12804) SENSOR_CONTROLLER; INFO: Sensor controller initialized
(13489) CLI; ERROR: Terminal doesn't support escape sequences
(77742) PROCEDURE_TASK; INFO: Procedure task received notification
(77742) PROCEDURE_TASK; INFO: Procedure loaded successfully
(77742) PROCEDURE_TASK; INFO: Setting motors in starting point before starting procedure
(78319) MECHANICAL_CONTROLLER; WARN: Bumping motor 0 from limit switch retry count achieved
(79840) PROCEDURE_TASK; INFO: Motors set in starting point, starting procedure
(79940) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 80000
(79943) MECHANICAL_CONTROLLER; ERROR: Motor 0 is in overheat shutdown state
(79947) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(79947) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(80939) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 0
(81239) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 0
(81279) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 11666
(81329) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 23333
(81467) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 35000
(81509) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 46666
(81559) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 58333
(81695) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 70000
(82089) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 70000
(82120) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 58333
(82149) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 46666
(82180) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 35000
(82209) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 23333
(82240) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 11666
(82269) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 0
(82270) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 0
(82300) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -11666
(82330) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -23333
(82367) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -35000
(82389) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -46666
(82420) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -58333
(82544) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -70000
(82939) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -70000
(82969) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -58333
(82999) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -46666
(83029) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -35000
(83061) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -23333
(83092) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -11666
(83220) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 0
(83220) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 0
(83249) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 10000
(83279) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 19999
(83310) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 30000
(83436) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 40000
(83459) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 49999
(83490) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 60000
(83885) PROCEDURE_EXEC_HELPER; INFO: Opening valve
(83979) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 60000
(83982) MECHANICAL_CONTROLLER; ERROR: Motor 0 is in overheat shutdown state
(84095) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(84095) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(84095) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 50000
(84140) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 40000
(84189) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 30000
(84239) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 20000
(84289) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 10000
(84416) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 0
(84945) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 0
(84969) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -13333
(84999) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -26666
(85029) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -40000
(85060) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -53333
(85089) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -66666
(85120) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -80000
(85919) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 0 and closing valve
(85924) PROCEDURE_EXEC_HELPER; INFO: Procedure finished, setting motors in starting point
(88019) PROCEDURE_EXEC_HELPER; INFO: Motors set in starting point
(88019) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 80000
(89019) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 0
(89320) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 0
(89360) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 11666
(89411) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 23333
(89536) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 35000
(89579) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 46666
(89629) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 58333
(89758) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 70000
(90149) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 70000
(90179) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 58333
(90209) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 46666
(90239) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 35000
(90269) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 23333
(90299) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 11666
(90329) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 0
(90330) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 0
(90359) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -11666
(90389) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -23333
(90419) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -35000
