(1230) PROCEDURE_TASK; INFO: Procedure task started
(1304) GPIO_WRAPPER; WARN: GPIO wrapper already initialized
(1304) SENSOR_CONTROLLER; WARN: Failed to initialize GPIO wrapper, probably already initialized
(1404) SENSOR_CONTROLLER; INFO: Sensor controller initialized
(2129) CLI; ERROR: Terminal doesn't support escape sequences
(27047) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(27047) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(27107) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(27107) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(27273) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(27273) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(27328) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(27328) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(27387) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(27387) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(27553) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(27553) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(27715) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(27715) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(27777) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(27777) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(27841) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(27841) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(28004) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(28004) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(28059) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(28059) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(28119) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
