(1500) PROCEDURE_TASK; INFO: Procedure task started
(1573) GPIO_WRAPPER; WARN: GPIO wrapper already initialized
(1573) SENSOR_CONTROLLER; WARN: Failed to initialize GPIO wrapper, probably already initialized
(1674) SENSOR_CONTROLLER; INFO: Sensor controller initialized
(2359) CLI; ERROR: Terminal doesn't support escape sequences
(85201) PROCEDURE_TASK; INFO: Procedure task received notification
(85201) PROCEDURE_TASK; INFO: Procedure loaded successfully
(85201) PROCEDURE_TASK; INFO: Setting motors in starting point before starting procedure
(87412) PROCEDURE_TASK; INFO: Motors set in starting point, starting procedure
(87509) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 80000
(87511) MECHANICAL_CONTROLLER; ERROR: Motor 0 is in overheat shutdown state
(87623) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(87623) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(88509) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 0
(88858) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 0
(88899) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 11666
(88949) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 23333
(88999) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 35000
(89049) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 46666
(89099) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 58333
(89139) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 70000
(89539) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 70000
(89569) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 58333
(89600) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 46666
(89629) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 35000
(89659) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 23333
(89689) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 11666
(89719) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 0
(89719) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 0
(89749) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -11666
(89779) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -23333
(89809) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -35000
(89839) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -46666
(89869) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -58333
(89899) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -70000
(90367) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -70000
(90389) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -58333
(90419) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -46666
(90534) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -35000
(90559) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -23333
(90589) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to -11666
(90619) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 0
(90619) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 0
(90649) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 10000
(90680) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 19999
(90709) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 30000
(90740) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 40000
(90769) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 49999
(90799) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 60000
(91099) PROCEDURE_EXEC_HELPER; INFO: Opening valve
(91199) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 60000
(91239) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 50000
(91289) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 40000
(91339) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 30000
(91464) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 20000
(91509) PROCEDURE_EXEC_HELPER; INFO: Setting motor speed to 10000
